Movie_ID,Title,Genre,Release_Year,Language,Country,Runtime_Min,Budget_Million,BoxOffice_Million,IMDb_Rating,Votes,Streaming_Platform,Director,Actor,RottenTomatoes_Score,Movie_Age,Profit_Million,Profit_Percentage,Success_Category
9795bbc2-455d-4ee2-9592-3400d1ec7eb2,KGF Chapter 2,Action,1987,Hindi,Canada,122,25.79,1150.03,7.0,1519401,Amazon Prime,Rajamouli,Yash,59,38,1124.24,4359.208995734781,Average
83538bbf-2c4e-40d2-8aa5-ea31529cc7fc,The Shawshank Redemption,Fantasy,2005,English,India,118,189.1,1014.41,5.3,4407456,HBO Max,Steven Spielberg,Tom Cruise,99,20,825.31,436.4410364886304,Flop
dde21b6c-5da1-49fa-a8df-a6ff2e81a445,Titanic,Comedy,2006,Telugu,India,161,79.44,1353.96,9.2,3786157,Amazon Prime,Mani Ratnam,Shah Rukh Khan,13,19,1274.52,1604.3806646525682,Hit
de3caa14-3167-4df7-82fa-68637aa89059,Joker,Adventure,1970,Hindi,UK,141,265.17,1132.24,6.3,4093500,Disney+,Rajamouli,Robert Downey Jr.,34,55,867.0699999999999,326.98646151525435,Average
5279cdbe-2057-436b-83d6-bb4a3c4b3c9c,Barbie,Fantasy,1985,Hindi,India,108,60.29,94.01,7.0,2557466,HBO Max,Rajamouli,Leonardo DiCaprio,35,40,33.720000000000006,55.92967324597778,Average
3cebef1f-0740-48f2-aabd-645bed793c49,The Avengers,Comedy,2001,Telugu,Canada,190,220.59,1669.55,5.1,1363973,Netflix,Anurag Kashyap,Yash,22,24,1448.96,656.8566118137721,Flop
e6818489-2e17-4c96-8a02-bbfd9377c003,The Matrix,Action,1974,Hindi,USA,180,19.1,1998.1,8.0,974774,Disney+,Christopher Nolan,Robert Downey Jr.,34,51,1979.0,10361.256544502616,Hit
824a2bd8-870d-48dd-a1dd-4deffdf8dbc2,Barbie,Action,2020,Tamil,UK,165,212.76,569.59,6.4,2392825,Netflix,Steven Spielberg,Yash,87,5,356.83000000000004,167.71479601428842,Average
19a66f94-37a5-4a53-84a9-b3bad36c1117,Gladiator,Action,2010,Telugu,India,122,186.85,1977.37,5.7,2275380,Amazon Prime,Steven Spielberg,Shah Rukh Khan,100,15,1790.52,958.2659887610383,Flop
bd1c077e-320f-4c99-ba98-565673c9828c,Inception,Fantasy,1986,Telugu,USA,115,55.06,1552.77,9.4,3059703,HBO Max,James Cameron,Leonardo DiCaprio,61,39,1497.71,2720.1416636396657,Hit
b6c7f48a-63cd-4455-9572-d474fef5725c,Baahubali: The Conclusion,Drama,1995,Telugu,UK,104,28.94,2400.93,9.1,4800009,Disney+,Mani Ratnam,Rajinikanth,80,30,2371.99,8196.233586731167,Hit
1de57446-3578-4240-8e2b-bd6fcb6e0ee8,Barbie,Romance,1982,Hindi,India,172,221.85,419.06,9.1,3074242,Disney+,Mani Ratnam,Tom Cruise,42,43,197.21,88.89339643903539,Hit
4d422aa5-cfa5-44dd-bd3b-5edcff15f103,Pulp Fiction,Drama,1987,Hindi,Canada,180,255.88,2202.23,9.0,1464177,Hulu,Rajamouli,Tom Cruise,16,38,1946.35,760.6495232140065,Hit
b7494f89-16fa-4dc6-8d69-3bbf5422f58f,Fight Club,Thriller,1974,Hindi,India,119,278.54,1401.41,5.1,694703,Disney+,Christopher Nolan,Shah Rukh Khan,11,51,1122.8700000000001,403.12701945860556,Flop
b69d4538-beb4-4fc9-a266-f7fb2d33825f,The Shawshank Redemption,Drama,1996,Tamil,USA,184,151.34,2076.65,8.9,911560,HBO Max,Christopher Nolan,Prabhas,30,29,1925.3100000000002,1272.1752345711643,Hit
8247d652-d124-4860-af5b-ed3edfab67af,Inception,Fantasy,2002,Hindi,USA,89,13.53,1012.39,9.0,1709274,Hulu,Mani Ratnam,Yash,83,23,998.86,7382.557280118256,Hit
c1c6d15b-f57b-452c-bc96-e03a669e7656,3 Idiots,Adventure,2002,English,Canada,101,198.86,1640.41,6.2,3343891,HBO Max,Steven Spielberg,Robert Downey Jr.,44,23,1441.5500000000002,724.9069697274465,Average
2bf8125c-1130-4bbb-a647-ecf23078c407,Dangal,Comedy,2020,Telugu,USA,83,40.93,2184.91,7.4,4840637,Netflix,Anurag Kashyap,Tom Cruise,91,5,2143.98,5238.162716833619,Average
7428325f-b506-4eaa-9e63-b840cdd082ae,The Lion King,Comedy,1979,Tamil,USA,113,1.62,219.76,6.8,4463203,HBO Max,Mani Ratnam,Shah Rukh Khan,25,46,218.14,13465.43209876543,Average
8c61dff2-603f-436d-8f31-8908ac3d84cb,Forrest Gump,Action,1978,Hindi,India,105,209.43,834.0,7.2,1131851,Amazon Prime,Mani Ratnam,Robert Downey Jr.,66,47,624.5699999999999,298.2237501790574,Average
961e5d20-db5b-4d63-96b5-78d5fc143bdb,Jurassic Park,Fantasy,1995,Tamil,India,100,238.73,107.44,6.6,3631654,HBO Max,Mani Ratnam,Rajinikanth,82,30,-131.29,-54.99518284254178,Average
48e8b285-d8fc-4923-af02-ae86baccd6e0,3 Idiots,Drama,2003,Tamil,India,185,263.33,1507.42,6.8,2652820,HBO Max,Steven Spielberg,Prabhas,55,22,1244.0900000000001,472.4452208255801,Average
d2e8c9a3-de26-4bca-bbe9-95d6e377f914,The Batman,Comedy,1995,Tamil,UK,116,279.29,339.4,8.0,1543941,Amazon Prime,Steven Spielberg,Tom Cruise,72,30,60.10999999999996,21.522431880840685,Hit
091e3c6c-c180-4941-8a96-ed3c6b3b29c6,KGF Chapter 2,Action,1985,Telugu,India,136,241.8,137.37,9.7,2314851,Hulu,Mani Ratnam,Robert Downey Jr.,18,40,-104.43,-43.188585607940446,Hit
594418f1-ac0b-4c06-9275-307ae3d55b17,Fight Club,Horror,2020,Telugu,USA,87,155.81,2392.18,8.8,3700498,HBO Max,Mani Ratnam,Leonardo DiCaprio,91,5,2236.37,1435.3186573390667,Hit
6a6fd3aa-b096-4186-9fb8-d0db6e720963,The Avengers,Comedy,2014,Tamil,USA,92,120.76,1501.21,5.1,3662869,Netflix,Christopher Nolan,Rajinikanth,64,11,1380.45,1143.1351440874462,Flop
be9d02b7-7a55-40ba-a996-4c8f6180eb6b,Interstellar,Adventure,1976,Tamil,UK,83,233.37,688.66,5.1,4148365,HBO Max,Rajamouli,Yash,60,49,455.28999999999996,195.09362814414877,Flop
5a17d07e-fb96-4620-8442-dfd7f926595f,Oppenheimer,Fantasy,2019,English,USA,169,194.24,1582.35,6.8,4759183,Hulu,James Cameron,Yash,34,6,1388.11,714.6365321252058,Average
7c1a3ac2-82eb-472e-aa39-5ea72e03428f,The Shawshank Redemption,Adventure,1993,Hindi,USA,168,242.16,2018.62,5.8,2779632,Disney+,Mani Ratnam,Shah Rukh Khan,78,32,1776.4599999999998,733.5893624050213,Flop
df45fdd5-7187-458a-ad6d-bf0e8f68880d,The Batman,Adventure,1996,Tamil,India,90,70.21,886.5,6.3,3587494,Netflix,Steven Spielberg,Yash,73,29,816.29,1162.640649480131,Average
b2aa62ef-b880-4497-8823-2a8ee4f1eb5b,Jurassic Park,Drama,2007,English,UK,113,59.55,1096.91,8.2,2644198,Hulu,Steven Spielberg,Tom Cruise,51,18,1037.3600000000001,1741.9983207388755,Hit
3b73e4cb-2566-4992-8892-5b02aeadabd8,Pulp Fiction,Action,1997,Telugu,UK,161,8.71,681.64,7.4,4715721,Hulu,James Cameron,Leonardo DiCaprio,11,28,672.93,7725.947187141216,Average
4c20e85a-382b-46a7-9b12-c9a777b45451,Pulp Fiction,Adventure,2004,Hindi,India,105,211.7,1775.94,9.0,3339199,Amazon Prime,Rajamouli,Rajinikanth,19,21,1564.24,738.8946622579123,Hit
7bb17ac6-b89f-4fb7-88ec-09bbec14495b,Forrest Gump,Thriller,1995,Tamil,UK,116,281.77,159.5,5.2,155340,Amazon Prime,Rajamouli,Yash,30,30,-122.26999999999998,-43.39354792916208,Flop
f13c62a9-1e1c-4d10-a3ad-5efcbd25f0fa,Oppenheimer,Fantasy,2012,Tamil,Canada,174,43.33,962.44,7.0,2571311,Amazon Prime,Anurag Kashyap,Rajinikanth,34,13,919.11,2121.186245095777,Average
2f816af0-f6ad-47f3-b9ce-f1b068d5f392,The Batman,Romance,1974,Hindi,India,117,17.31,1585.45,9.3,2928298,Amazon Prime,James Cameron,Tom Cruise,100,51,1568.14,9059.156556903525,Hit
cdf5286e-8e15-48d0-a4b4-eebd623a281e,Baahubali: The Conclusion,Horror,2002,Telugu,India,140,294.68,2074.46,6.6,1176742,Hulu,Anurag Kashyap,Robert Downey Jr.,16,23,1779.78,603.9704085787973,Average
a1680649-a98b-4c3f-9b89-716afcb7ea84,Baahubali: The Conclusion,Comedy,1972,Hindi,UK,103,104.18,247.15,6.6,177952,Disney+,Steven Spielberg,Yash,76,53,142.97,137.23363409483585,Average
fea9c587-e772-4764-bd06-dcb1d333abd7,Avatar,Sci-Fi,2014,Tamil,Canada,120,38.23,1456.95,9.3,4865924,Amazon Prime,James Cameron,Leonardo DiCaprio,22,11,1418.72,3711.01229400994,Hit
6f009f52-0f71-4a58-a125-6e08f99d6d53,Pulp Fiction,Drama,1979,Hindi,India,88,295.23,2330.94,5.6,3922198,Hulu,Steven Spielberg,Robert Downey Jr.,59,46,2035.71,689.5335839853673,Flop
74f22c0a-ff46-4037-a063-0f057ba6ad99,Baahubali: The Conclusion,Comedy,2009,Telugu,Canada,162,104.39,2023.86,8.3,1802723,Netflix,Anurag Kashyap,Tom Cruise,92,16,1919.4699999999998,1838.748922310566,Hit
c27cec04-e783-497a-84a5-8442bd7c8814,The Matrix,Romance,1978,Telugu,USA,137,31.46,1939.35,6.9,3883646,Amazon Prime,Anurag Kashyap,Prabhas,12,47,1907.8899999999999,6064.4945963127775,Average
8283ec03-384b-4fde-a6e9-c3c16f893bfc,Avatar,Sci-Fi,2006,Tamil,India,178,77.59,892.48,8.7,1957134,Hulu,Anurag Kashyap,Robert Downey Jr.,40,19,814.89,1050.2513210465265,Hit
914ccb17-d3ef-4cb3-b77a-451e660de88b,Forrest Gump,Action,2024,Telugu,USA,112,95.29,1254.66,9.5,853712,Hulu,Mani Ratnam,Rajinikanth,81,1,1159.3700000000001,1216.6754119005143,Hit
fb0da5e2-e313-4cd6-95be-dc2ccb371054,Barbie,Romance,1987,English,USA,152,21.93,512.88,6.7,4997483,Amazon Prime,Mani Ratnam,Yash,65,38,490.95,2238.7140902872775,Average
48f8ff7f-d2c6-4c74-9a8e-f1ead63660da,Inception,Thriller,1970,Hindi,India,139,172.42,2220.19,5.7,2262743,Hulu,Rajamouli,Shah Rukh Khan,59,55,2047.77,1187.6638441016125,Flop
32f84162-b02b-4cb6-88ea-f41e63e8911a,Barbie,Drama,1987,Hindi,UK,81,239.82,1684.82,8.1,2498542,HBO Max,Rajamouli,Leonardo DiCaprio,12,38,1445.0,602.5352347594029,Hit
ba874adf-1e32-4bb6-8312-0522e1c10d4f,The Avengers,Drama,2005,Telugu,Canada,163,250.99,1902.19,7.8,1256233,HBO Max,Rajamouli,Tom Cruise,48,20,1651.2,657.8748157297103,Average
58f508a8-d087-4778-bf68-38a417b0dcfb,The Batman,Action,1975,Tamil,Canada,185,113.69,2465.74,8.4,659912,Hulu,Steven Spielberg,Tom Cruise,26,50,2352.0499999999997,2068.8275134136684,Hit
a360bce3-309e-4dcb-9a27-f3c6de012cb8,Avatar,Adventure,1989,Tamil,India,178,161.25,874.26,7.7,3513990,Amazon Prime,Rajamouli,Robert Downey Jr.,36,36,713.01,442.17674418604645,Average
0ecb9b82-dd88-406c-9693-fc722ec7134c,Jurassic Park,Comedy,1990,Hindi,USA,180,185.89,1336.07,8.9,4439011,Amazon Prime,Rajamouli,Tom Cruise,92,35,1150.1799999999998,618.7422669320566,Hit
98623f1b-f935-42c3-85e3-28d7390bbd10,Pulp Fiction,Romance,2021,Tamil,India,159,91.83,1090.92,9.1,4994150,Netflix,Rajamouli,Prabhas,28,4,999.09,1087.9777850375694,Hit
5c8b458e-0512-4cd8-87c7-7f453ec277bb,The Lion King,Drama,2022,Telugu,Canada,141,150.74,571.35,6.3,608052,HBO Max,Christopher Nolan,Leonardo DiCaprio,44,3,420.61,279.0301180841183,Average
2b34af2f-f4e7-41f4-a0c0-808135bf63d6,The Dark Knight,Romance,1994,Telugu,USA,180,234.54,712.89,7.3,2449098,Netflix,James Cameron,Robert Downey Jr.,29,31,478.35,203.95241749808136,Average
881d1ccf-2eaa-4b24-a5a9-ce67b1d1663e,Inception,Romance,1975,Telugu,UK,189,284.56,1068.85,9.5,4137912,Hulu,Christopher Nolan,Robert Downey Jr.,53,50,784.29,275.6149845375316,Hit
68d9f465-8776-4434-9df3-1a502b321d1a,Forrest Gump,Action,2022,Hindi,India,182,270.11,1793.91,8.5,594448,Disney+,Christopher Nolan,Rajinikanth,89,3,1523.8000000000002,564.1405353374552,Hit
62904a46-b2d9-4677-8506-d8993b839b97,Baahubali: The Conclusion,Romance,1983,Hindi,UK,110,108.32,895.02,7.5,1744030,Hulu,Rajamouli,Tom Cruise,56,42,786.7,726.2740029542099,Average
e6f24913-4a07-4b48-8ffa-96b428f86ac9,Forrest Gump,Adventure,1996,English,India,155,254.5,917.89,6.0,1662215,HBO Max,Steven Spielberg,Rajinikanth,72,29,663.39,260.66404715127703,Average
6f415bc0-ffc3-4da0-a67a-3953c9eefcf7,Joker,Thriller,1987,English,India,126,150.79,1581.87,6.8,488433,HBO Max,Mani Ratnam,Shah Rukh Khan,40,38,1431.08,949.0549771204987,Average
bb18ba6d-385e-4a05-912a-c71157b57b99,Titanic,Fantasy,1993,Hindi,UK,167,131.67,549.59,7.7,3447101,Disney+,Steven Spielberg,Robert Downey Jr.,61,32,417.9200000000001,317.3995595048228,Average
d038aec3-cee6-472e-86ca-02fe65f44ce1,Joker,Action,2008,English,USA,126,269.81,601.09,8.0,2608816,Hulu,Rajamouli,Shah Rukh Khan,38,17,331.28000000000003,122.7826989362885,Hit
06c5360e-be54-427c-a089-63a5741f751a,Pulp Fiction,Thriller,2008,Hindi,Canada,117,290.74,2163.26,7.7,264407,Hulu,Steven Spielberg,Rajinikanth,78,17,1872.5200000000002,644.0531058677857,Average
12034e8f-208a-4e89-9008-a46b736eb6d3,Barbie,Romance,1980,Telugu,India,186,86.81,1891.42,8.1,3562819,Hulu,Anurag Kashyap,Robert Downey Jr.,98,45,1804.6100000000001,2078.8042852205967,Hit
c69e7680-5a3d-4424-890d-687d0e692b3a,Joker,Adventure,1998,Telugu,USA,117,39.72,2334.29,5.6,1482320,Hulu,Mani Ratnam,Rajinikanth,69,27,2294.57,5776.863041289024,Flop
cd771879-8275-4569-8242-ff9fedafd092,The Shawshank Redemption,Fantasy,2004,Tamil,UK,166,99.24,519.05,9.7,874784,Disney+,Anurag Kashyap,Robert Downey Jr.,41,21,419.80999999999995,423.02498992341793,Hit
9c09d0ad-1e9a-40b0-8b73-d0c66ba48625,Avatar,Sci-Fi,2000,Hindi,India,188,146.07,533.93,6.4,2374644,Netflix,James Cameron,Leonardo DiCaprio,99,25,387.85999999999996,265.53022523447663,Average
39af52eb-7ed6-49b0-925e-30ef3065a590,Interstellar,Drama,1990,Telugu,UK,169,155.95,703.2,6.4,968196,Netflix,James Cameron,Tom Cruise,62,35,547.25,350.9137544084643,Average
ee81a095-b73e-47cd-ad07-35693034736d,Barbie,Action,2022,English,India,132,19.48,1529.08,5.5,1374670,Hulu,Christopher Nolan,Rajinikanth,66,3,1509.6,7749.486652977412,Flop
2348f6ec-5e57-4c05-88ee-9cd3a308e620,3 Idiots,Action,2017,Tamil,USA,88,243.95,2195.23,8.6,742926,Netflix,James Cameron,Shah Rukh Khan,92,8,1951.28,799.8688255790121,Hit
a802d16a-7808-430b-8377-1ba93657f34c,The Shawshank Redemption,Drama,1999,Hindi,UK,81,78.51,2046.61,6.1,2089757,HBO Max,Christopher Nolan,Robert Downey Jr.,22,26,1968.1,2506.814418545408,Average
39a214dd-e116-44a1-9467-ca30d09f2fde,The Avengers,Adventure,2021,Telugu,USA,85,5.36,1536.62,8.4,644762,Amazon Prime,Anurag Kashyap,Leonardo DiCaprio,50,4,1531.26,28568.28358208955,Hit
daa775a4-ad14-4f8b-844c-d32b0dfdbf54,The Dark Knight,Comedy,2003,Tamil,Canada,136,291.66,2151.37,9.7,744714,Hulu,James Cameron,Rajinikanth,19,22,1859.7099999999998,637.6294315298634,Hit
8ae4a278-8ea3-4cae-8e96-81f4c259987b,The Avengers,Romance,2024,English,Canada,179,205.95,2132.32,5.8,3315254,Disney+,Mani Ratnam,Prabhas,28,1,1926.3700000000001,935.3580966253948,Flop
8dcc5df7-8644-424e-89bb-41b427fd6b90,Avengers: Endgame,Sci-Fi,2008,Tamil,Canada,80,66.6,700.4,7.0,3691002,Hulu,Steven Spielberg,Leonardo DiCaprio,94,17,633.8,951.6516516516516,Average
2c2258b7-2581-43f5-9d9c-b75d7d835034,Forrest Gump,Adventure,1977,Tamil,UK,185,152.41,1273.94,9.6,725502,Hulu,Mani Ratnam,Rajinikanth,60,48,1121.53,735.8637884653238,Hit
