Movie_ID,Title,Genre,Release_Year,Language,Country,Runtime_Min,Budget_Million,BoxOffice_Million,IMDb_Rating,Votes,Streaming_Platform,Director,Actor,RottenTomatoes_Score
9795bbc2-455d-4ee2-9592-3400d1ec7eb2,KGF Chapter 2,Action,1987,Hindi,Canada,122,25.79,1150.03,7.0,1519401,Amazon Prime,Rajamouli,Yash,59
83538bbf-2c4e-40d2-8aa5-ea31529cc7fc,The Shawshank Redemption,Fantasy,2005,English,India,118,189.1,1014.41,5.3,4407456,HBO Max,Steven Spielberg,Tom Cruise,99
dde21b6c-5da1-49fa-a8df-a6ff2e81a445,Titanic,Comedy,2006,Telugu,India,161,79.44,1353.96,9.2,3786157,Amazon Prime,Mani Ratnam,Shah Rukh Khan,13
de3caa14-3167-4df7-82fa-68637aa89059,Joker,Adventure,1970,Hindi,UK,141,265.17,1132.24,6.3,4093500,Disney+,Rajamouli,Robert Downey Jr.,34
5279cdbe-2057-436b-83d6-bb4a3c4b3c9c,Barbie,Fantasy,1985,Hindi,India,108,60.29,94.01,7.0,2557466,HBO Max,Rajamouli,Leonardo DiCaprio,35
3cebef1f-0740-48f2-aabd-645bed793c49,The Avengers,Comedy,2001,Telugu,Canada,190,220.59,1669.55,5.1,1363973,Netflix,Anurag Kashyap,Yash,22
e6818489-2e17-4c96-8a02-bbfd9377c003,The Matrix,Action,1974,Hindi,USA,180,19.1,1998.1,8.0,974774,Disney+,Christopher Nolan,Robert Downey Jr.,34
824a2bd8-870d-48dd-a1dd-4deffdf8dbc2,Barbie,Action,2020,Tamil,UK,165,212.76,569.59,6.4,2392825,Netflix,Steven Spielberg,Yash,87
19a66f94-37a5-4a53-84a9-b3bad36c1117,Gladiator,Action,2010,Telugu,India,122,186.85,1977.37,5.7,2275380,Amazon Prime,Steven Spielberg,Shah Rukh Khan,100
bd1c077e-320f-4c99-ba98-565673c9828c,Inception,Fantasy,1986,Telugu,USA,115,55.06,1552.77,9.4,3059703,HBO Max,James Cameron,Leonardo DiCaprio,61
b6c7f48a-63cd-4455-9572-d474fef5725c,Baahubali: The Conclusion,Drama,1995,Telugu,UK,104,28.94,2400.93,9.1,4800009,Disney+,Mani Ratnam,Rajinikanth,80
1de57446-3578-4240-8e2b-bd6fcb6e0ee8,Barbie,Romance,1982,Hindi,India,172,221.85,419.06,9.1,3074242,Disney+,Mani Ratnam,Tom Cruise,42
4d422aa5-cfa5-44dd-bd3b-5edcff15f103,Pulp Fiction,Drama,1987,Hindi,Canada,180,255.88,2202.23,9.0,1464177,Hulu,Rajamouli,Tom Cruise,16
b7494f89-16fa-4dc6-8d69-3bbf5422f58f,Fight Club,Thriller,1974,Hindi,India,119,278.54,1401.41,5.1,694703,Disney+,Christopher Nolan,Shah Rukh Khan,11
